Trial,Profit
1," ₩129,336 "
2," ₩171,573 "
3, ₩-   
4, ₩-   
5," ₩110,673 "
6," ₩182,126 "
7, ₩-   
8," ₩128,234 "
9," ₩100,506 "
10," ₩137,395 "
11," ₩189,273 "
12, ₩-   
13, ₩-   
14," ₩115,622 "
15, ₩-   
16, ₩-   
17," ₩63,536 "
18," ₩107,677 "
19, ₩-   
20," ₩(81,963)"
21," ₩89,055 "
22, ₩-   
23, ₩-   
24, ₩-   
25, ₩-   
26, ₩-   
27," ₩109,398 "
28," ₩101,174 "
29," ₩77,447 "
30," ₩133,389 "
31, ₩-   
32, ₩-   
33, ₩-   
34, ₩-   
35, ₩-   
36, ₩-   
37," ₩166,018 "
38, ₩-   
39," ₩(45,823)"
40, ₩-   
41," ₩148,744 "
42, ₩-   
43," ₩126,943 "
44," ₩187,339 "
45, ₩-   
46, ₩-   
47, ₩-   
48," ₩167,236 "
49, ₩-   
50, ₩-   
51, ₩-   
52," ₩176,080 "
53, ₩-   
54," ₩122,042 "
55," ₩(73,064)"
56," ₩253,644 "
57, ₩-   
58," ₩101,193 "
59," ₩(141,888)"
60," ₩227,449 "
61, ₩-   
62, ₩-   
63," ₩203,808 "
64, ₩-   
65, ₩-   
66," ₩(17,389)"
67," ₩78,335 "
68," ₩70,947 "
69, ₩-   
70, ₩-   
71, ₩-   
72, ₩-   
73, ₩-   
74, ₩-   
75," ₩143,614 "
76, ₩-   
77," ₩(18,706)"
78, ₩-   
79, ₩-   
80," ₩16,684 "
81," ₩63,497 "
82, ₩-   
83, ₩-   
84, ₩-   
85," ₩122,426 "
86, ₩-   
87," ₩75,513 "
88," ₩176,842 "
89," ₩164,140 "
90," ₩12,772 "
91," ₩163,696 "
92," ₩78,382 "
93," ₩159,969 "
94, ₩-   
95," ₩203,322 "
96, ₩-   
97," ₩162,067 "
98," ₩(16,942)"
99," ₩139,532 "
100, ₩-   
101," ₩208,795 "
102, ₩-   
103, ₩-   
104, ₩-   
105, ₩-   
106, ₩-   
107, ₩-   
108, ₩-   
109, ₩-   
110," ₩161,626 "
111," ₩156,666 "
112," ₩(61,151)"
113," ₩13,125 "
114, ₩-   
115, ₩-   
116, ₩-   
117, ₩-   
118," ₩144,048 "
119," ₩137,610 "
120, ₩-   
121, ₩-   
122, ₩-   
123, ₩-   
124," ₩80,783 "
125, ₩-   
126, ₩-   
127, ₩-   
128," ₩92,668 "
129, ₩-   
130, ₩-   
131," ₩139,150 "
132," ₩(18,152)"
133, ₩-   
134, ₩-   
135," ₩68,918 "
136, ₩-   
137, ₩-   
138, ₩-   
139, ₩-   
140, ₩-   
141, ₩-   
142, ₩-   
143, ₩-   
144, ₩-   
145," ₩22,766 "
146, ₩-   
147, ₩-   
148, ₩839 
149, ₩-   
150, ₩-   
151, ₩-   
152," ₩(94,425)"
153, ₩-   
154, ₩-   
155, ₩-   
156, ₩-   
157, ₩-   
158, ₩-   
159," ₩14,312 "
160," ₩97,806 "
161," ₩102,470 "
162," ₩51,543 "
163," ₩125,339 "
164," ₩181,789 "
165, ₩-   
166," ₩34,701 "
167, ₩-   
168, ₩-   
169, ₩-   
170, ₩-   
171, ₩-   
172, ₩-   
173," ₩220,483 "
174, ₩-   
175, ₩-   
176, ₩-   
177, ₩-   
178, ₩-   
179," ₩81,398 "
180," ₩181,254 "
181, ₩-   
182, ₩-   
183," ₩186,825 "
184, ₩-   
185," ₩91,940 "
186," ₩88,076 "
187, ₩-   
188, ₩-   
189, ₩-   
190, ₩-   
191," ₩45,234 "
192, ₩-   
193, ₩-   
194," ₩36,607 "
195," ₩136,207 "
196," ₩11,749 "
197," ₩(70,865)"
198, ₩-   
199, ₩-   
200," ₩102,033 "
201, ₩-   
202," ₩91,437 "
203, ₩-   
204, ₩-   
205," ₩177,310 "
206, ₩-   
207," ₩133,560 "
208," ₩132,728 "
209," ₩147,558 "
210, ₩-   
211, ₩-   
212, ₩-   
213," ₩17,644 "
214, ₩-   
215," ₩(35,807)"
216," ₩150,265 "
217, ₩-   
218, ₩-   
219," ₩(71,304)"
220, ₩-   
221, ₩-   
222, ₩-   
223," ₩(2,386)"
224, ₩(143)
225," ₩111,349 "
226, ₩-   
227, ₩-   
228," ₩160,524 "
229," ₩32,828 "
230," ₩179,354 "
231," ₩157,648 "
232," ₩239,219 "
233," ₩173,582 "
234," ₩(37,657)"
235, ₩-   
236, ₩-   
237," ₩240,426 "
238, ₩-   
239, ₩-   
240," ₩189,606 "
241," ₩(32,219)"
242," ₩230,388 "
243, ₩-   
244, ₩-   
245," ₩161,829 "
246," ₩58,714 "
247, ₩-   
248, ₩-   
249," ₩257,169 "
250, ₩-   
251, ₩-   
252, ₩-   
253," ₩100,915 "
254," ₩114,194 "
255, ₩-   
256, ₩-   
257," ₩(36,167)"
258," ₩126,314 "
259," ₩186,707 "
260," ₩60,996 "
261, ₩-   
262," ₩30,655 "
263," ₩190,810 "
264," ₩56,235 "
265, ₩-   
266," ₩148,391 "
267, ₩-   
268, ₩-   
269," ₩193,186 "
270," ₩102,538 "
